,
"['12 month', 'payroll account', 'deposit apr', 'account apr', 'online account', 'require payroll', 'go lose', 'know go', 'look alternative', 'transfer today'",payroll accounts
" ['fear bad', 'fear bad new', 'new drop', 'bad new', '89 apr', 'account 89', 'account 89 apr', 'amazon check', 'apr deposit', 'amazon es'",wizink
" ['account 89', 'account 89 apr', '89 apr', '44 apr', 'account 89 apr deposit', '89 apr deposit', 'apr deposit', 'deposit 44', 'period account 89', 'marketing period account 89'",renault bank
" ['24 36 month', '18 24 36', '18 24 36 month', '24 36', '18 24', '36 month', '12 18 24 36', 'choose 12 18 24', '12 18 24', 'choose 12 18'",
" ['payroll account', 'receive 120', 'spend money', '250 000', '000 client', 'debit card want', 'series supermarket indicate receive', 'payroll spend money debit', '120 welcome give bonus', '120 welcome give'",
" ['non cancelable', 'profitability deposit', 'bfs cut', 'fix term', 'apr 12', 'apr 12 month', '12 month', 'cancelable deposit', 'percentage point', '75 apr'",
" ['june 17', 'june 17 2024', '17 2024', 'long exist must', 'exist must', 'long exist', 'account apr', '20 000', 'one good offer', 'one good offer see'",
" ['march 27', 'february 22', 'try capture customer', 'capture customer niche', 'capture customer', 'customer niche', 'try capture customer niche', 'cuenta facto apr', 'facto apr believe', 'niche big'",
" ['55 apr', 'lose apr level', 'lose apr', 'apr level', 'apr year term', 'year term', '95 apr', 'apr level remain 95', 'lose apr level remain', 'level remain 95'",
" ['march 27', 'february 22', '12 month', 'month deposit', 'month deposit apr', 'customer niche big', 'facto apr believe', 'cuenta facto apr believe', 'cuenta facto apr', 'capture customer niche big'",
" ['facto inform', 'facto inform client', 'apr month', 'inform client', '25 apr', '06 apr', '92 day', '179 day', '25 percentage', '25 percentage point'",
" ['abanca continue', 'offer deposit', 'continue offer', 'exchange payroll', '12 month', 'abanca continue offer', 'apr 12 month term', 'abanca offer', 'payroll account', 'apr abanca'",
" ['per month', '400 payroll', '500 per month', '500 per', '400 payroll large pension', 'pension 500 per', 'pension 500', 'payroll large pension 500', '400 payroll large', 'pension 500 per month'",
" ['amazon check', 'amazon es', '60 amazon', '60 welcome', '60 welcome amazon check', 'welcome amazon check cashback', '60 welcome amazon', 'welcome amazon check', 'check cashback', 'welcome amazon'",
" ['amazon check', 'amazon es', '60 amazon', '25 apr', '60 welcome', 'welcome amazon', '60 welcome amazon', 'check cashback', 'welcome amazon check cashback', 'welcome amazon check'",
